Game_Date,Release_Speed,Release_Point_X,Release_Point_Z,Horizontal_Movement,Vertical_Movement,Inning,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Perceived_Speed,Release_Spin_Rate,Release_Extension,Release_Point_Y,Plate_Appearance,Pitch_Per_PA,Pitch_Name,Pitch_Per_Game,Days_Between_Starts
2015-04-18,97.4,2.69,5.086,0.9986416666666668,1.1116,1.0,-9.516,-141.405,-4.046,16.554000000000002,29.955,-19.127,97.921,2462.0,6.4510000000000005,54.0471,7.0,1.0,Sinker,3.0,5.0
2015-04-18,98.1,2.7356,5.8818,1.1837333333333333,1.3997,1.0,-9.392000000000001,-142.519,-3.362,19.465999999999998,31.819000000000003,-14.838,97.23,2316.0,5.996,54.4926,7.0,2.0,Sinker,4.0,5.0
2015-04-18,97.8,2.7356,5.8818,1.318725,1.0270333333333332,1.0,-10.352,-142.075,-2.456,21.266,32.826,-20.313,97.23,2316.0,5.996,54.4926,7.0,3.0,Sinker,5.0,5.0
2015-04-18,99.1,2.9181,5.5342,1.2728,1.1402666666666663,1.0,-11.834000000000001,-143.787,-2.66,21.323,29.954,-18.224,98.71799999999999,2477.0,6.261,54.2276,7.0,4.0,Sinker,6.0,5.0
2015-04-18,82.4,2.8268,5.6848,-0.4500833333333333,0.22866666666666666,1.0,-9.176,-119.539,-3.97,-3.273,26.447,-31.816999999999997,80.672,922.0,5.864,54.6238,7.0,5.0,Slider,7.0,5.0
2015-04-18,94.2,2.9181,5.5342,1.3006333333333333,0.7188666666666667,1.0,-11.055,-136.628,-1.851,19.809,24.758000000000003,-25.118000000000002,98.71799999999999,2477.0,6.261,54.2276,8.0,1.0,Sinker,8.0,5.0
2015-04-18,98.4,2.9181,5.5342,1.2004333333333332,1.3395,1.0,-12.242,-142.822,-1.146,19.593,35.366,-15.815,98.71799999999999,2477.0,6.261,54.2276,8.0,2.0,Sinker,9.0,5.0
2015-04-18,96.6,2.8619,5.5333,0.9875083333333332,1.2707,1.0,-7.111000000000001,-140.515,-0.8340000000000001,16.168,29.689,-17.065,96.223,2357.0,6.115,54.3729,8.0,3.0,Sinker,10.0,5.0
2015-04-18,84.2,2.8268,5.6848,-0.6978,-0.0752,1.0,-6.712999999999999,-122.374,-0.743,-6.176,24.636999999999997,-35.006,80.672,922.0,5.864,54.6238,8.0,4.0,Slider,11.0,5.0
2015-04-18,89.3,3.0651,5.5316,1.2227,0.7203,1.0,-8.471,-129.816,-2.638,16.97,21.393,-25.759,89.204,2106.0,6.005,54.4836,8.0,5.0,Changeup,12.0,5.0
